Country,Measure,Large subnational region,Small subnational region,Variable,Year,Value
Cabo Verde,Square kilometers,Total,Total,Built-up since 1975,1990,0.0
Central African Republic,Square kilometers,Total,Total,Built-up since 1990,2000,36.1035
Central African Republic,Square kilometers,Total,Total,Built-up since 1990,2014,53.7165
Central African Republic,Square kilometers,Total,Total,Built-up since 1975,1990,13.1814
Central African Republic,Percent of total land area,Total,Total,Built-up since 1975,1990,0.002115293
Congo,Square kilometers,Total,Total,Area built-up before,1975,115.704
Congo,Square kilometers,Total,Total,Area built-up before,1990,135.135
Congo,Square kilometers,Total,Total,Area built-up before,2000,166.2381
Congo,Square kilometers,Total,Total,Area built-up before,2014,208.8144
Congo,Percent of total land area,Total,Total,Built-up since 1975,1990,0.005699052
Côte d'Ivoire,Square kilometers,Total,Total,Built-up since 2000,2014,184.4001
Democratic Republic of the Congo,Square kilometers,Total,Total,Built-up since 2000,2014,384.0588
Democratic Republic of the Congo,Percent of total land area,Total,Total,Built-up since 2000,2014,0.01663861
Democratic Republic of the Congo,Percent of total land area,Total,Total,Built-up since 1975,1990,0.012412283
Djibouti,Square kilometers,Total,Total,Built-up since 2000,2014,0.4743
Djibouti,Percent of total land area,Total,Total,Built-up since 2000,2014,0.002190033
Equatorial Guinea,Square kilometers,Total,Total,Built-up since 1990,2000,5.1336
Equatorial Guinea,Square kilometers,Total,Total,Built-up since 1990,2014,9.1197
Equatorial Guinea,Square kilometers,Total,Total,Built-up since 1975,1990,6.0255
Equatorial Guinea,Percent of total land area,Total,Total,Built-up since 1990,2000,0.01897626
Equatorial Guinea,Percent of total land area,Total,Total,Built-up since 1990,2014,0.033710807
Equatorial Guinea,Percent of total land area,Total,Total,Built-up since 2000,2014,0.014734547
Equatorial Guinea,Percent of total land area,Total,Total,Built-up since 1975,1990,0.022273152
Eritrea,Square kilometers,Total,Total,Built-up since 2000,2014,2.8692
Eritrea,Percent of total land area,Total,Total,Built-up since 1990,2000,0.001651118
Eritrea,Percent of total land area,Total,Total,Built-up since 1990,2014,0.00401367
Gabon,Percent of total land area,Total,Total,Built-up since 2000,2014,0.001885904
Gambia,Square kilometers,Total,Total,Built-up since 2000,2014,5.0643
Gambia,Square kilometers,Total,Total,Built-up since 1975,1990,20.2581
Gambia,Percent of total land area,Total,Total,Built-up since 1975,1990,0.19191773
Ghana,Percent of total land area,Total,Total,Built-up since 1990,2000,0.187060749
Ghana,Percent of total land area,Total,Total,Built-up since 1990,2014,0.328940387
Guinea,Percent of total land area,Total,Total,Built-up since 2000,2014,0.037022364
Guinea-Bissau,Square kilometers,Total,Total,Built-up since 1975,1990,6.9858
Lesotho,Percent of total land area,Total,Total,Built-up since 2000,2014,0.0261566
Lesotho,Percent of total land area,Total,Total,Built-up since 1975,1990,0.060153405
Liberia,Square kilometers,Total,Total,Area built-up before,1975,151.7085
Liberia,Square kilometers,Total,Total,Area built-up before,1990,169.2531
Liberia,Square kilometers,Total,Total,Area built-up before,2000,193.2831
Liberia,Square kilometers,Total,Total,Area built-up before,2014,234.6975
Libya,Square kilometers,Total,Total,Built-up since 2000,2014,154.6371
Madagascar,Square kilometers,Total,Total,Built-up since 2000,2014,22.7106
Madagascar,Percent of total land area,Total,Total,Built-up since 2000,2014,0.003847767
Mali,Percent of total land area,Total,Total,Built-up since 2000,2014,0.006856589
Mauritania,Square kilometers,Total,Total,Built-up since 1975,1990,11.9916
Mauritius,Square kilometers,Total,Total,Built-up since 2000,2014,43.5564
Mauritius,Percent of total land area,Total,Total,Built-up since 2000,2014,2.199721194
Mauritius,Percent of total land area,Total,Total,Built-up since 1975,1990,0.0
Morocco,Square kilometers,Total,Total,Built-up since 1975,1990,266.3469
Morocco,Percent of total land area,Total,Total,Built-up since 2000,2014,0.053629932
Morocco,Percent of total land area,Total,Total,Built-up since 1975,1990,0.064175714
Mozambique,Square kilometers,Total,Total,Built-up since 2000,2014,161.8956
Mozambique,Square kilometers,Total,Total,Built-up since 1975,1990,140.5431
Namibia,Square kilometers,Total,Total,Built-up since 2000,2014,13.1274
Namibia,Square kilometers,Total,Total,Built-up since 1975,1990,28.4013
Namibia,Percent of total land area,Total,Total,Built-up since 2000,2014,0.001585852
Nigeria,Square kilometers,Total,Total,Built-up since 2000,2014,1480.1625
Rwanda,Percent of total land area,Total,Total,Built-up since 1975,1990,0.119834445
Sao Tome and Principe,Square kilometers,Total,Total,Built-up since 2000,2014,0.0855
Sierra Leone,Percent of total land area,Total,Total,Built-up since 2000,2014,0.085940106
Somalia,Square kilometers,Total,Total,Built-up since 2000,2014,20.6802
Somalia,Percent of total land area,Total,Total,Built-up since 2000,2014,0.003248197
South Africa,Square kilometers,Total,Total,Built-up since 2000,2014,794.277
South Africa,Square kilometers,Total,Total,Built-up since 1975,1990,1506.8088
South Africa,Percent of total land area,Total,Total,Built-up since 1990,2000,0.11014948
South Africa,Percent of total land area,Total,Total,Built-up since 1990,2014,0.175164733
South Africa,Percent of total land area,Total,Total,Built-up since 1975,1990,0.123339282
Sudan,Square kilometers,Total,Total,Built-up since 1975,1990,168.0228
Sudan,Percent of total land area,Total,Total,Built-up since 2000,2014,0.009840336
Eswatini,Square kilometers,Total,Total,Built-up since 1990,2000,14.0409
Eswatini,Square kilometers,Total,Total,Built-up since 1990,2014,25.5024
Eswatini,Percent of total land area,Total,Total,Area built-up before,1975,0.051938044
Eswatini,Percent of total land area,Total,Total,Area built-up before,1990,0.12092921
Eswatini,Percent of total land area,Total,Total,Area built-up before,2000,0.201917259
Eswatini,Percent of total land area,Total,Total,Area built-up before,2014,0.268027303
Tanzania,Square kilometers,Total,Total,Built-up since 2000,2014,113.166
Togo,Square kilometers,Total,Total,Built-up since 1975,1990,38.556
Togo,Percent of total land area,Total,Total,Built-up since 1975,1990,0.067550118
Tunisia,Square kilometers,Total,Total,Built-up since 1975,1990,252.8928
Uganda,Square kilometers,Total,Total,Built-up since 1975,1990,59.9499
Zambia,Square kilometers,Total,Total,Built-up since 1975,1990,56.916
Zambia,Percent of total land area,Total,Total,Built-up since 2000,2014,0.011596084
Zimbabwe,Percent of total land area,Total,Total,Built-up since 2000,2014,0.014954756
South Sudan ,Square kilometers,Total,Total,Built-up since 1990,2000,20.5056
South Sudan ,Square kilometers,Total,Total,Built-up since 1990,2014,44.3367
South Sudan ,Percent of total land area,Total,Total,Built-up since 2000,2014,0.0037622
